score,date,content,writer_id,like_count,dislike_count,source
10,2026.06.06 11:09,긴장감 때문에 온몸이 경직된 채로 봤는지 집에 오니까 어깨가 다 결려요 잔인한 장면 하나 없이 사람 긴장시키는 힘이 엄청납니다,dydg****,2,9,관람객
10,2026.06.06 11:07,난이도 엄청 높은 방탈출 카페에 들어가서 제한 시간 5분 남았을 때의 그 똥줄 타는 기분을 영화 보는 내내 간접 체험할 수 있어요,kmt7****,3,8,관람객
8,2026.06.06 10:44,영화 무섭고 재밌어요 게임도 관심이 생겼어요,dwc4****,1,8,관람객
10,2026.06.06 10:38,러닝타임 내내 상영관 안이 너무 고요해서 다들 숨죽이고 보는 분위기였어요. 다 끝나고 문 열릴 때 관객들이 단체로 한숨 돌리는 게 인상적이었습니다.,jyc0****,5,6,관람객
10,2026.06.06 10:35,"보통 공포 영화는 무서운 장면 지나가면 안심이 되는데, 이건 영화가 끝났는데도 현실 공간이 낯설게 느껴지는 이상한 여운이 있어요",v219****,5,4,관람객
10,2026.06.06 10:28,인터넷 도시전설이나 기괴한 공간 짤 좋아하는 분들은 무조건 취향 저격일 듯합니다. 그 특유의 기분 나쁜 정적을 스크린에 잘 담아냈어요,wody****,3,4,관람객
10,2026.06.06 10:07,뻔한 공포 공식 다 비틀어버림 갑툭튀 뇌절하는 영화들에 돈 날리기 싫으면 무조건 이거 예매하세요,bang****,1,8,관람객
10,2026.06.06 09:47,맨날 사운드 키우고 왁!!! 왁!!! 거리는 양산형 깜놀 영화에 질렸으면 제발 이거 보셈 결이 아예 다름,siho****,1,7,관람객
10,2026.06.06 08:30,생각해보면 굉장히 단순한 소재인 백룸을 가지고 감독이 나름의 해석으로 개연성있게 잘 풀어나감,phw6****,0,7,관람객
2,2026.06.06 00:11,아쉽습니다 전개 연기 연출 다 아쉬움,dlwn****,13,8,관람객
4,2026.06.05 23:28,Terrible and boring. Waste of my time snd money,djma****,24,8,관람객
1,2026.06.05 22:40,중간에 나가는 관객도 있고 너무 지루하고 뭐 어쩌라는 영화인지,froz****,63,27,관람객
8,2026.06.05 22:24,과거를 떠나보내지 못한 자의 뇌가 만들어낸 무한한 복도.,dlck****,5,4,관람객
10,2026.06.05 21:42,인생 영화 순위를 개선 할 정도로 인생영화였습니다. 다른 일 할 때 틀기 좋아요.,rlae****,2,14,관람객
10,2026.06.05 15:24,팝콘 왜 사냐 진짜ㅋㅋㅋ 긴장해서 침 삼키는 소리도 눈치 보여서 팝콘통 껴안고만 있다가 나옴,minj****,2,14,관람객
