movie,site,rating,review,date
백룸,megabox,7,으스스한 분위기와 아쉬운 러닝타임,2026.07.06
백룸,megabox,8,몰입해서 잘 보았습니다 ^^,2026.07.06
백룸,megabox,8,흥미롭게 잘 보았습니다,2026.07.06
백룸,megabox,9,너무너무 재밋엇으음,2026.07.06
백룸,megabox,9,깜놀 크게없어서 좋았음,2026.07.06
백룸,megabox,6,글냥 볼만함.. 세계관이 강한 영화는 설명이 불친절할수밖에 없나,2026.07.06
백룸,megabox,7,백룸 재밌어요 백룸 백룸,2026.07.06
백룸,megabox,7,설정을 알고봐서 나름 재미있게 봤습니다. 다만 친구에게 추천하기엔 조금 애매..,2026.07.06
백룸,megabox,10,백룸이라는 매력적인 설정을 잘 보여준 영화!,2026.07.05
백룸,megabox,6,연출이 좋고 영상미가 이쁘지만 뭘 정확히 표현하고자 했는지 알기 어려운 난해한 스토리가 걸림돌.,2026.07.05
백룸,megabox,7,스토리가 신박해서 볼만했습니다,2026.07.05
백룸,megabox,8,"신박한 세계관, 압도적인 분위기, 해석 마려운 스토리, 추격신과 신문신 사이를 연결짓는 추격신이 더 길었으면 좋았겠다.. 싶은 아쉬움",2026.07.05
백룸,megabox,8,생각보다 무섭고 스릴넘침,2026.07.05
백룸,megabox,8,결말이 아쉽고 이해가 잘 안갔지만 볼만 했습니다,2026.07.05
백룸,megabox,10,무섭고 재미있었어요.,2026.07.05
백룸,megabox,10,백룸 잘 구현해서 재밌어요,2026.07.05
백룸,megabox,9,"무섭게 시작해서 기괴하고 스릴있게 진행되는 영화! 레나테 레인스베의 할리우드 데뷔작이어서 궁금했어요^^초현실주의적인 묘사들도 기발한데, 왜 1990년 산타클라라가 배경인지는?",2026.07.05
백룸,megabox,10,"완전히 이해하기는 어려운 것 같지만, 제가 기대한 것보다 더 신선한 내용으로 다가와서 재밌게 봤습니다",2026.07.05
백룸,megabox,10,결말이 없는 이야기라 답답하네 누가 뒷 이야기 좀 만들어줘!!!,2026.07.05
백룸,megabox,1,백룸 세계관을 모르니 뭐가 뭔지 모르겠고 설명도 없고 뭘 전달하려는지도 모르겠어요,2026.07.05
백룸,megabox,10,재밌습니다………..,2026.07.05
백룸,megabox,10,몰입도는 좋았는데 내용이 끊기는 느낌,2026.07.05
백룸,megabox,10,각자의 트라우마 속에 갇히는 공간이 백룸,2026.07.05
백룸,megabox,10,이제 사람 없는 곳에 혼자 있으면 너무 무서워졌어요,2026.07.05
백룸,megabox,10,진짜너무너무재미있게봤어요,2026.07.05
백룸,megabox,10,재밌게 잘 보았습니다,2026.07.05
백룸,megabox,10,호불호가 좀 있겠다,2026.07.05
백룸,megabox,5,재밌고 연출도 좋지만 이해를 못하겠음,2026.07.05
백룸,megabox,10,재밌나 인기 많네 ㅋㅋ,2026.07.04
백룸,megabox,10,무의 무언가가 그 속내를 보여줄때,2026.07.04
백룸,megabox,9,상상이상으로 잘 만들었습니다.,2026.07.04
백룸,megabox,1,실관람평 전문가평 다 괜찮길래 봤는데.... 작년포함 현재까지 최악의 영화 내용도 말도 안되고 재미도 없음 지금껏 영화 리뷰쓰면서 최초의 1점.... 이게 a24역대 최고흥행이라니,2026.07.04
백룸,megabox,4,개인적으로 진짜 에휴,2026.07.04
백룸,megabox,10,재미있게 잘 관람했습니다,2026.07.04
백룸,megabox,8,우울하면 백룸에가자,2026.07.04
백룸,megabox,10,해석 찾아보는게 재미있음,2026.07.04
백룸,megabox,10,깔끔하게 잘 봤어요,2026.07.04
백룸,megabox,10,전체적으로 소리도 그렇고 영상화면에서도 무서운 느낌을 계속 느낄 수 있어서 신선했어요~!,2026.07.04
백룸,megabox,7,기묘하게 평안한 참으로 매력적인 침잠,2026.07.04
백룸,megabox,10,난해함 근데 집중감상~~,2026.07.04
백룸,megabox,8,희한하다... 얼마나 희한하냐면... 정말 희한해...,2026.07.03
백룸,megabox,9,예상은 했지만 예상을 뛰어넘는 연기력과 연출에 감탄만,2026.07.03
백룸,megabox,7,정신병 1인칭 관람,2026.07.03
백룸,megabox,8,실존과 비틀린 내면의 은유,2026.07.03
백룸,megabox,10,오줌 지릴뻔함 ㅇㅇ 순수체급으로 계속 놀란거 오랜만임 공포영화로는 아쉬운데 스릴러는 가능함,2026.07.03
백룸,megabox,1,ㅊ히악 리레요 최악,2026.07.03
백룸,megabox,2,결말이 엉망이네요🙂‍↔️,2026.07.03
백룸,megabox,9,백룸 특유의 불쾌한 OST와 미술 연출은 훌륭했지만 오히려 영화라는 매체의 스토리를 가져야 한다는 점이 한계로 작용하지 않았나 싶습니다,2026.07.03
백룸,megabox,5,기대가 크면 아쉬움이 있는 백룸,2026.07.03
백룸,megabox,4,안 봐도 되는 영화,2026.07.03
백룸,megabox,9,백룸에 대해 잘 이해했음,2026.07.03
백룸,megabox,1,이게 무슨 영화야 너무 우울해 내 시간,2026.07.03
백룸,megabox,4,아 뭔 영환지 모르겠음...;; 뭔갈 전달하고 싶은 건 알겠는데 모르겠음 어려운 영화랑 나랑 안 맞는다는 걸 이렇게 또 절실히 느끼네,2026.07.03
백룸,megabox,8,사람들 내면에있을수있는…,2026.07.03
백룸,megabox,8,유튜브의 세계관을 어느 정도는 알고 봐야 이해가 가실 것 같습니다 저도 대충만 알고 있어서 이스터 에그까지는 못 찾고 어느 정도는 이해 하면서 봤습니다만 연출면에서는 감안해야겠네요,2026.07.03
