별점,날짜,내용,정제된_내용,요일,리뷰길이,tfidf_같아요,tfidf_공간이,tfidf_너무,tfidf_만드는,tfidf_만큼,tfidf_무서움,tfidf_백룸,tfidf_백룸에,tfidf_봤는데,tfidf_봤습니다,tfidf_영화,tfidf_이상한,tfidf_이해하기,tfidf_재밌게,tfidf_주인공이,tfidf_죽을,tfidf_중간에,tfidf_중독되며,tfidf_중반부터,tfidf_지루해도,tfidf_지루했어요,tfidf_직접,tfidf_진짜로요,tfidf_찝찝했지만,tfidf_차분히,tfidf_참고,tfidf_창조자가,tfidf_초반엔,tfidf_최고,tfidf_최악입니다
10,2026-07-18,저두 백룸에 갇힌거 같아요,저두 백룸에 갇힌거 같아요,Saturday,14,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-07-18,불면증에 특효약 최고,불면증에 특효약 최고,Saturday,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,2026-07-18,압도적인 시각적 공포와 연출을 보여준 작품,압도적인 시각적 공포와 연출을 보여준 작품,Saturday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-07-18,내 스타일은 아닌데 잘만들엇긴해요,내 스타일은 아닌데 잘만들엇긴해요,Saturday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-18,배우 연기가 미쳤음,배우 연기가 미쳤음,Saturday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-07-17,스토리는 잘 모르겠다... 멀미하시는 분은 뒷자리 추천드립니다,스토리는 잘 모르겠다 멀미하시는 분은 뒷자리 추천드립니다,Friday,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,몽환적인.. 먼가 드림코어 느낌의 꽤나 흥미로운 영호였어용,몽환적인 먼가 드림코어 느낌의 꽤나 흥미로운 영호였어용,Friday,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,좋았어요 스릴도있었고 연기자들이 잘하셨어요,좋았어요 스릴도있었고 연기자들이 잘하셨어요,Friday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-17,초반엔 조금 지루해도 중반부터 포텐 터지기 시작항,초반엔 조금 지루해도 중반부터 포텐 터지기 시작항,Friday,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0
7,2026-07-17,색다른 장르의 영화,색다른 장르의 영화,Friday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
